BASED OF 2024 (Please note rough estimate may be over) ,,,,,,
,,,,,,
Category,Price,,Additional information ,,,
Transport," $1,146.00 ",,Flights pp.,"$1,400",,
Transport," $1,146.00 ",,,,,
Transport(SYD - SFO)," $14,000.00 ",,,,,
Transport(LAX - SFO)," $12,700.00 ",,,,,
Accomodation," $11,500.00 ",,,,,
Accomodation," $11,500.00 ",,,,,
Shipping," $4,211.00 ",,,,,
Shipping," $7,702.96 ",,,,,
Accomodation," $3,947.00 ",,,,,
,,,,,,
Accomodation ," $26,947.00 ",,,,,
Flights," $26,700.00 ",,,,,
Shipping," $11,913.96 ",,,,,
Total," $67,852.96 ",,,,,
,,,,,,
